scenario_name,array_gini_coefficient,arr_size,total_trials,regular_avg,regular_std,epsilon,avg_comparisons,std_comparisons,improvement_pct,ci_lower,ci_upper,margin_of_error,sample_size,t_statistic,p_value,is_significant,drunkness_level
Sober Array,0.0,5000,100,11.38,1.716114945174275,0.18000000000000044,11.61,1.819618119554238,-2.0210896309314466,11.248948288190812,11.971051711809187,0.36105171180918716,100,0.919554263539722,0.35892846494410735,False,0.18000000000000044
Sober Array,0.0,5000,100,11.38,1.716114945174275,0.20000000000000046,12,1.651445647689541,-5.44815465729349,11.672317355135919,12.327682644864081,0.3276826448640823,100,2.603221989541495,0.009935481993536121,True,0.20000000000000046
Sober Array,0.0,5000,100,11.38,1.716114945174275,0.22000000000000047,12.46,1.62319052324349,-9.490333919156415,12.137923784825203,12.782076215174799,0.3220762151747982,100,4.572087337452001,8.510223249209141e-06,True,0.22000000000000047
Sober Array,0.0,5000,100,11.38,1.716114945174275,0.2400000000000005,12.24,1.9904824043483031,-7.557117750439361,11.845045107161233,12.634954892838767,0.39495489283876634,100,3.272287853719722,0.0012630372147948638,True,0.2400000000000005
Sober Array,0.0,5000,100,11.38,1.716114945174275,0.2600000000000005,12.03,2.1294235004912583,-5.7117750439367185,11.607476179338429,12.45252382066157,0.42252382066157124,100,2.3767156178306803,0.018464189760198528,True,0.2600000000000005
Sober Array,0.0,5000,100,11.38,1.716114945174275,0.2800000000000005,12.12,2.3237030704450943,-6.502636203866419,11.658926897735006,12.581073102264993,0.46107310226499304,100,2.5616969361270656,0.011225372447220073,True,0.2800000000000005
Sober Array,0.0,5000,100,11.38,1.716114945174275,0.30000000000000054,12.85,2.5638315707612938,-12.917398945518443,12.341280193648231,13.358719806351768,0.5087198063517692,100,4.764727106743483,3.98952950076268e-06,True,0.30000000000000054
Array (Gini=0.1),0.11078242092399004,5000,100,11.25,1.539874060178988,-0.3,12.38,2.308438625757438,-10.044444444444451,11.921955694725469,12.838044305274533,0.45804430527453166,100,4.072210621445149,7.084323983187386e-05,True,0.3
Array (Gini=0.1),0.11078242092399004,5000,100,11.25,1.539874060178988,-0.27999999999999997,12.06,2.063732031778811,-7.200000000000005,11.650510791917304,12.469489208082697,0.40948920808269723,100,3.145731405565477,0.0019337376160226173,True,0.27999999999999997
Array (Gini=0.1),0.11078242092399004,5000,100,11.25,1.539874060178988,-0.25999999999999995,11.47,1.8987236542350008,-1.955555555555561,11.09325203390364,11.84674796609636,0.37674796609635997,100,0.8999205589791714,0.36930226693102,False,0.25999999999999995
Array (Gini=0.1),0.11078242092399004,5000,100,11.25,1.539874060178988,-0.23999999999999994,11.98,1.9795928568238164,-6.4888888888888925,11.58720582964047,12.372794170359532,0.39279417035953174,100,2.9107006133254867,0.004045017415552519,True,0.23999999999999994
Array (Gini=0.1),0.11078242092399004,5000,100,11.25,1.539874060178988,-0.21999999999999992,12.09,1.5380362660079103,-7.466666666666666,11.784820236895198,12.395179763104801,0.3051797631048013,100,3.859563972755786,0.00015368692857446804,True,0.21999999999999992
Array (Gini=0.1),0.11078242092399004,5000,100,11.25,1.539874060178988,-0.1999999999999999,11.78,1.9570127720326687,-4.711111111111106,11.391686208341378,12.16831379165862,0.38831379165862184,100,2.128340518619271,0.034613808686510594,True,0.1999999999999999
Array (Gini=0.1),0.11078242092399004,5000,100,11.25,1.539874060178988,-0.17999999999999988,11.86,1.8368836147511944,-5.422222222222217,11.495522439366212,12.224477560633787,0.36447756063378645,100,2.544904303469393,0.011716504586210843,True,0.17999999999999988
Array (Gini=0.1),0.11078242092399004,5000,100,11.25,1.539874060178988,-0.15999999999999986,12.02,1.4211959681190978,-6.844444444444441,11.73800388686423,12.30199611313577,0.2819961131357707,100,3.674586770262019,0.00030712422518480313,True,0.15999999999999986
Array (Gini=0.1),0.11078242092399004,5000,100,11.25,1.539874060178988,-0.13999999999999985,11.43,1.6712361601611854,-1.5999999999999976,11.098390488103389,11.76160951189661,0.33160951189661036,100,0.7920802682009713,0.42926813223801663,False,0.13999999999999985
